Nafn,Afgreitt,Birta,Tegund,Skýring,Úrskurður,ID,
Aage,Sam,1,DR,,,45,
Aagot,Sam,1,ST,,,1844,
Aaron,Haf,1,DR,,,1,
Aaron,Sam,1,DR,,26.08.2013,4417,
Abel,Haf,1,MI,,,1785,
Abel,Sam,1,DR,,,3483,
Abel,Haf,1,ST,,,3484,
Abela,Sam,1,ST,,,1845,
Abigael,Sam,1,ST,ef. Abigaelar,06.02.2009,3957,
Abigail,Haf,1,ST,,18.12.2003,3544,
Abraham,Sam,1,DR,,,47,
Ada,Sam,1,ST,,,1846,
Adam,Sam,1,DR,,,48,
Adda,Sam,1,ST,,,1847,
Addi,Sam,1,DR,,,49,
Addú,Sam,1,ST,,06.06.2013,4407,
Addý,Sam,1,ST,,,1848,
Adel,Sam,1,DR,,08.07.2004,3590,
Adela,Sam,1,ST,,,1849,
Adelía,Sam,1,ST,,11.12.2012,4376,
Adíel,Sam,1,DR,,,50,
Adólf,Sam,1,DR,,,51,
Adrian,Haf,1,DR,,21.01.2010,2,
Adriana,Haf,1,ST,,17.08.2010,4157,
Adrían,Sam,1,DR,,21.01.2010,52,
Adríana,Sam,1,ST,ef. Adríönu,14.05.2009,4006,
Adríel,Sam,1,DR,,,53,
Aðalberg,Sam,1,DR,,,54,
Aðalbergur,Sam,1,DR,,,55,
Aðalbert,Sam,1,DR,,12.02.2004,3554,
Aðalbjörg,Sam,1,ST,,,1850,
Aðalbjörgvin,Haf,1,DR,,,3,
Aðalbjörn,Sam,1,DR,,,56,
Aðalbjört,Sam,1,ST,,,1851,
Aðalborg,Sam,1,ST,,,1852,
Aðalborgar,Sam,1,DR,,,57,
Aðaldal,Sam,1,MI,,8.12.2011,4287,
Aðaldís,Sam,1,ST,,25.11.2005,3727,
Aðalfríður,Sam,1,ST,,,1853,
Aðalgeir,Sam,1,DR,,,58,
Aðalheiður,Sam,1,ST,,,1854,
Aðalmundur,Sam,1,DR,,,59,
Aðalráður,Sam,1,DR,,,60,
Aðalrós,Sam,1,ST,,01.04.2009,3999,
Aðalsteina,Sam,1,ST,,,1855,
Aðalsteinn,Sam,1,DR,,,61,
Aðalsteinunn,Sam,1,ST,,,1856,
Aðalveig,Sam,1,ST,,,1857,
Aðalvíkingur,Haf,1,DR,,16.05.2012,4332,
Aðils,Sam,0,DR,Tekið úr birtingu að beiðni mnn (e-mail 14.03.2006),,3572,
Aðils,Haf,1,DR,,14.11.2006,3846,
Aðólf,Sam,1,DR,,09.10.2008,3967,
